name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"F16_ref_96/decode_mean",20,8.55649,8.53309,ns,,,,,
"F16_ref_96/decode_median",20,8.47129,8.46036,ns,,,,,
"F16_ref_96/decode_stddev",20,0.185601,0.155142,ns,,,,,
"F16_test_96/decode_mean",20,9.50652,9.46664,ns,,,,,
"F16_test_96/decode_median",20,9.37501,9.34112,ns,,,,,
"F16_test_96/decode_stddev",20,0.287849,0.255811,ns,,,,,
"F16_ref_100/encode_mean",20,13.3556,13.324,ns,,,,,
"F16_ref_100/encode_median",20,13.2869,13.245,ns,,,,,
"F16_ref_100/encode_stddev",20,0.289898,0.273887,ns,,,,,
"F16_test_100/encode_mean",20,12.1256,12.1052,ns,,,,,
"F16_test_100/encode_median",20,12.0481,12.0296,ns,,,,,
"F16_test_100/encode_stddev",20,0.23799,0.223682,ns,,,,,
"F16_ref_100/decode_mean",20,12.7714,12.7414,ns,,,,,
"F16_ref_100/decode_median",20,12.6972,12.6725,ns,,,,,
"F16_ref_100/decode_stddev",20,0.339207,0.312776,ns,,,,,
"F16_test_100/decode_mean",20,10.4451,10.396,ns,,,,,
"F16_test_100/decode_median",20,10.2453,10.2269,ns,,,,,
"F16_test_100/decode_stddev",20,0.405299,0.364911,ns,,,,,
"F16_ref_101/encode_mean",20,12.9818,12.9613,ns,,,,,
"F16_ref_101/encode_median",20,12.8946,12.8798,ns,,,,,
"F16_ref_101/encode_stddev",20,0.310478,0.289291,ns,,,,,
"F16_test_101/encode_mean",20,13.6153,13.584,ns,,,,,
"F16_test_101/encode_median",20,13.492,13.4555,ns,,,,,
"F16_test_101/encode_stddev",20,0.33951,0.319126,ns,,,,,
"F16_ref_101/decode_mean",20,16.1125,16.0821,ns,,,,,
"F16_ref_101/decode_median",20,16.0014,15.9831,ns,,,,,
"F16_ref_101/decode_stddev",20,0.310067,0.279751,ns,,,,,
"F16_test_101/decode_mean",20,11.3527,11.3332,ns,,,,,
"F16_test_101/decode_median",20,11.2671,11.2512,ns,,,,,
"F16_test_101/decode_stddev",20,0.250753,0.247801,ns,,,,,
"F16_ref_103/encode_mean",20,14.5686,14.5174,ns,,,,,
"F16_ref_103/encode_median",20,14.4384,14.4156,ns,,,,,
"F16_ref_103/encode_stddev",20,0.346504,0.301147,ns,,,,,
"F16_test_103/encode_mean",20,14.54,14.4968,ns,,,,,
"F16_test_103/encode_median",20,14.3923,14.3681,ns,,,,,
"F16_test_103/encode_stddev",20,0.331914,0.288545,ns,,,,,
"F16_ref_103/decode_mean",20,14.8316,14.7908,ns,,,,,
"F16_ref_103/decode_median",20,14.7,14.6695,ns,,,,,
"F16_ref_103/decode_stddev",20,0.324527,0.300165,ns,,,,,
"F16_test_103/decode_mean",20,12.7234,12.7043,ns,,,,,
"F16_test_103/decode_median",20,12.6634,12.6483,ns,,,,,
"F16_test_103/decode_stddev",20,0.253158,0.239996,ns,,,,,
"F16_ref_104/encode_mean",20,11.7733,11.7226,ns,,,,,
"F16_ref_104/encode_median",20,11.5965,11.5675,ns,,,,,
